publishedAt,authorDisplayName,textDisplay,likeCount
2024-07-11T14:40:58Z,@Mia-Khoirunnisa,Yaa Allah semoga anak2ku bisa seperti mereka 🤲😇<br>COC ini acara yang sangat disukai anakku.<br>IP mereka gak kaleng2... Semua mendekati IP 4 😮<br><br>SEMPURNAAAA..... 😍,0
2024-07-11T14:39:54Z,@indryiswary3478,Barakallahu fii Ilmi anak² cerdas. Semoga kecerdasan &amp; vibes² positif&#39;a bisa menular.❤,0
2024-07-11T14:39:45Z,@ahmadhelmy8978,🔥🔥🔥🔥,0
2024-07-11T14:39:35Z,@mutiahalendra445,"Suka bamget ngulang&quot;, durasinya 1 jam, aku nontonnya hampir 2 jam😢❤",0
2024-07-11T14:39:32Z,@nuzulultazkiya627,&quot;Setiap proses pasti selalu ada orang yang mungkin tidak sesuai dengan ekspektasi kita&quot;,0
2024-07-11T14:39:21Z,@ahmadhelmy8978,🔥🔥🔥🔥🔥,1
2024-07-11T14:39:21Z,@fiiamanillah1816,Enak banget di circle mereka❤,0
2024-07-11T14:36:43Z,@faris_sandreas,Tidak bisa mewarisi harta cuman ngewarisin pendidikan 🥺❤️,1
2024-07-11T14:35:30Z,@robiatuladawiyah2145,"Sandy lu keren bgt, pas kuis bareng bang densu lu ngasih ke xaviera jawab biar ga ketinggalan poin.",1
2024-07-11T14:35:28Z,@menaragading2577,Harus nya mereka ini yg viral anak2 hebat 👍🏾👍🏾,1
2024-07-11T14:35:24Z,@Proses_jadi_hebat,"Tontonan anak muda yg positif, banyak2 in ngundang yg berbobot gini bang",1
2024-07-11T14:35:04Z,@riniastuti275,Inget ambisi muda ku dl yg aku kalah krn ga bs menetobos rintangan2 sktr ..senangnya liat anak2 ini ❤moga anak2ku bisa pny pemikiran dan kepribadian yang kuat dan fokus seperti kk2 ini 🤲,1
2024-07-11T14:34:59Z,@badrusmoh,Baru kali ini nonton kontennya denny mulai awal sampai akhir tanpa skip skipp,1
2024-07-11T14:34:54Z,@saadahulya7567,Shakira positif vibes banget😊😊,1
2024-07-11T14:34:45Z,@mubaidah1579,Postifff poll❤❤❤,1
2024-07-11T14:34:37Z,@deamour4143,Asliiii aku ikut Bangga sebagai Karyawan Ruangguru 🎉 Hebat Banget Kantor akuuu,1
2024-07-11T14:34:30Z,@MarthaDwi-vm3bm,Moga nular pinternya,1
2024-07-11T14:34:11Z,@user-kr2ru9ys5m,Lanjutkan bang densu konten yang seperti ini,1
2024-07-11T14:34:07Z,@lululatifah8899,Bang densu mereka bertiga suruh ngeluss perut ci olivv biar ketularan....😅😂😅,1
2024-07-11T14:34:03Z,@windapusfarani2817,tapi gua percaya si san lu iq nya 151 😁,0
2024-07-11T14:33:53Z,@amaliabalqis3748,NIce akhirnya tontonan begini yang trending no 1 di YouTube,0
2024-07-11T14:33:49Z,@mkrrm-v4v,Harta tahta Xavieraa,0
2024-07-11T14:33:38Z,@phiolate4854,harusnya axel ada disini,0
2024-07-11T14:33:12Z,@eccawulan6228,Lebih seru dengerin yg beginiiii,0
